Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	61735	625470	34	0.0064
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	707099	13187370	6480	-0.3193
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	13214448	13376489	8	-1.5712
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	13377047	17190004	2233	-0.2837
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	17190862	17283075	66	-1.0854
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	17284920	30741656	7657	-0.2899
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	30741950	30745210	2	-4.0908
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	30747576	37884291	4048	-0.2797
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	37885161	37900173	11	-1.0218
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	37902135	42856729	2810	-0.2813
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	42858703	42920326	60	0.0269
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	42928593	43145908	113	0.3496
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	43152576	43380982	131	-0.0462
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	43381065	43827190	288	-0.3569
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	43827564	47760969	2052	0.0127
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	47763207	48444912	510	0.5098
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	48445208	48857599	273	0.2564
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	48860907	49055510	120	-0.3194
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	49057586	49139531	66	-0.6423
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	49140140	49379812	201	-0.3376
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	49380258	49398123	17	-0.8356
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	49398200	50044828	279	-0.3304
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	50046741	52678221	1130	-0.6734
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	52681434	53336838	332	-0.3445
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	53343605	54061446	519	-0.6812
BEAUX_p_TCGA_b109_SNP_2N_GenomeWideSNP_6_A01_772082	1	54061892	54203107	111	-0.03
