Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	61735	723317	38	0.2148
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	728608	904607	45	-0.1328
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	918573	1018704	16	-0.438
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	1029055	16611062	8527	-0.036
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	16617686	17087292	190	-0.3577
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	17089349	17276241	82	-0.0525
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	17277940	19954771	1913	-0.4007
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	19956374	20060365	73	0.0208
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	20060965	20198937	118	-0.4122
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	20202433	20303607	65	-0.0129
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	20305721	20795166	324	-0.3832
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	20798595	22152194	763	-0.0147
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	22160111	22160257	2	-1.6368
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	22164164	25415682	1889	-0.0197
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	25416761	25424322	4	-1.19
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	25424889	31367929	3052	-0.0176
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	31372734	31517757	59	-0.361
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	31520265	40001561	4684	-0.0193
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	40003003	40090090	40	0.2446
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	40096053	47712268	4242	-0.0264
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	47713661	49442392	1250	0.2493
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	49447085	53203664	1657	-0.0402
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	53206563	62113102	6636	0.2456
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	62114006	62118187	4	-1.1254
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	62119809	100218185	25168	0.1011
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	100220425	100220460	2	-1.1166
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	100222478	104159384	2364	0.0204
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	104163499	104268222	27	0.4956
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	104303403	106019236	922	0.0575
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	106019310	106022375	15	0.8457
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	106024055	108729759	1944	0.0654
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	108734235	108737496	3	-0.9698
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	108739104	110570444	957	0.096
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	110571674	112937787	1978	-0.28
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	112938140	112938497	2	-3.4956
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	112942200	115489039	1456	-0.3019
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	115492398	144013594	3525	-0.0287
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	144013689	144593253	48	0.4407
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	144842558	145394955	227	0.9106
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	145395440	147831183	854	1.1744
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	147844790	149732625	251	0.4276
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	149732729	152109676	1173	1.1883
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	152121765	152555527	297	0.7875
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	152555706	152586594	35	0.0191
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	152590494	152761923	172	0.7775
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	152761939	152778526	40	1.1581
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	152778558	162889258	6379	0.823
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	162890041	164780231	1410	1.1806
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	164782067	169216937	3559	0.3183
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	169233974	169241766	7	1.025
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	169242401	174796405	3527	0.3133
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	174796556	174801840	16	-2.9214
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	174801854	179697986	3314	0.3025
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	179701692	179702718	4	-0.6818
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	179707053	189286175	6362	0.3064
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	189288822	189288939	2	-0.8617
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	189289857	192075745	1821	0.2967
COZEN_p_TCGAb56_SNP_2N_GenomeWideSNP_6_A12_667174	1	192076367	192076535	2	-0.9156
