Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	61735	228729	19	0.5125
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	229075	8176626	4020	0.0063
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	8182588	8189285	9	-0.8831
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	8191792	16896821	4647	0.0205
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	16903726	17076467	76	0.3544
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	17082412	25583341	5333	0.0189
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	25593128	25662212	31	-1.2484
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	25663310	35091594	4953	0.0075
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	35091638	35104491	22	-0.5892
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	35114268	72768418	23723	0.0119
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	72768498	72811148	47	0.9414
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	72811904	89475255	10887	0.0131
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	89477958	89478205	2	-2.1012
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	89481524	104103230	9019	0.0103
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	104109238	104155731	20	0.5017
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	104155802	106001360	937	0.0159
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	106001572	106022375	23	-0.427
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	106024055	107654220	1075	0.0022
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	107655602	107663495	11	-0.7302
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	107665433	144549929	8765	0.017
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	144555185	144849552	9	1.1027
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	144865627	144949070	69	0.0579
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	144949975	145085777	51	-0.3938
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	145090605	152555176	2652	0.0413
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	152555527	152586594	36	1.0591
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	152590494	178658817	17488	0.012
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	178659933	178674188	54	-0.6201
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	178676866	246104376	45972	0.0144
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	246108976	246595982	347	0.5763
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	1	246598346	249224388	1468	0.0185
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	12784	6300673	4679	0.0167
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	6300687	6307850	24	-0.9945
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	6307875	34652579	19279	0.0175
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	34652871	34737057	57	0.3731
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	34737163	52743925	12942	0.01
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	52754468	52781542	40	0.584
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	52787949	97857927	23911	0.01
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	97865337	97877173	15	-0.5945
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	97886334	98023306	20	-0.0377
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	98025647	98162189	13	0.7352
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	98166878	146862085	29365	0.0121
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	146864404	146866934	24	0.8702
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	2	146877806	243089456	58753	0.0101
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	60345	1916976	1662	0.0023
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	1918149	1922965	6	-1.0946
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	1925064	21779692	14553	0.0118
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	21781295	21782164	5	-1.3851
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	21786893	46801817	16802	0.0145
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	46801864	46849589	39	-0.7679
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	46859479	129786209	49019	0.0101
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	129786286	129806236	45	0.4765
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	129806924	162530870	20195	0.0145
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	162532950	162540490	7	1.2443
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	162545716	192877902	19121	0.0133
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	192877962	192882903	19	0.8499
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	3	192886435	197896118	2698	0.027
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	12281	3599450	1507	0.0336
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	3599869	3602184	2	-1.7349
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	3609390	8724543	3659	0.0096
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	9370690	9456977	62	0.4823
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	9461230	9479345	9	-0.8
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	9486087	10210390	542	0.0351
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	10214160	10235268	36	1.1584
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	10236142	33376583	16097	0.0162
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	33379136	33386186	11	-0.8767
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	33388353	34786500	768	0.0172
WRIED_p_TCGA_143_147_150_Hahn_N_GenomeWideSNP_6_A05_799860	4	34786955	34821340	35	0.5611
