Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	61735	62920	5	0.3008
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	62937	16149343	8417	-0.3705
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	16149915	16155010	11	0.5101
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	16165661	17100230	393	-0.3915
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	17100877	17261211	66	-0.7359
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	17261248	35102654	10280	-0.3239
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	35102670	35104491	19	-2.3765
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	35114268	37898668	1502	-0.2631
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	37900173	37900415	2	1.1337
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	37902135	62113102	14985	-0.2154
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	62114006	62118187	4	-1.0618
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	62119809	65925349	2812	-0.1774
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	65925847	65928047	2	1.2898
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	65931904	67573238	1225	-0.1894
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	67573288	72768916	3349	0.0772
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	72768936	72811148	45	-1.1364
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	72811904	106019310	21049	0.135
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	106019370	106022375	14	-0.5154
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	106024055	110224384	2657	0.1447
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	110224427	110242953	32	-0.4785
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	110244998	112690326	1958	0.1388
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	112695965	112697241	23	0.7685
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	112697376	145145650	5389	0.1529
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	145146867	145431022	96	-0.1007
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	145432953	145642310	101	0.3234
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	145644984	148585337	760	-0.0856
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	148627569	148627842	3	-1.1888
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	148636769	152555706	1699	-0.0826
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	152555767	152586594	34	-1.5375
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	152590494	154833397	1419	0.1285
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	154843347	155017164	73	0.4426
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	155017926	156422858	604	0.13
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	156424988	156483056	31	0.4969
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	156490979	158866573	1705	0.167
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	158868501	158869759	2	1.4626
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	158874818	158959575	62	0.1491
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	158962039	158962796	2	-1.0689
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	158966864	166174940	5340	0.1953
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	166176043	166195702	12	0.6193
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	166196812	166807182	484	0.2028
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	166807883	166937872	66	0.5243
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	166939145	167579079	506	0.2615
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	167580003	168223264	389	0.8034
HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_F08_628494	1	168223921	169216937	864	0.5662
