Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	61735	62937	6	0.8962
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	72704	98602	11	-0.337
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	228706	850687	58	0.1231
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	874902	884772	3	-0.835
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	885424	4916605	1822	0.1699
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	4916906	5357171	385	-0.3507
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	5359498	6023229	531	-0.0339
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	6024580	7520285	822	-0.3453
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	7521585	10224693	1468	-0.0787
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	10228014	10358591	85	-0.3641
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	10365263	10382248	31	-0.0473
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	10382262	11128654	381	-0.3831
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	11128933	11590128	262	-0.0713
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	11591804	12209550	313	-0.3953
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	12216488	15170939	1560	-0.1224
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	15172626	15611620	373	-0.3463
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	15613092	16149915	307	-0.0938
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	16153497	16153925	6	0.5228
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	16154201	16155010	4	-0.0781
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	16165661	17005776	345	-0.4107
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	17005978	17190004	60	-0.0632
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	17190862	17295212	71	0.1554
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	17297698	17474394	131	-0.0891
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	17476831	18853490	1059	-0.361
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	18855542	21705452	1800	-0.0628
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	21705475	24196957	1459	-0.3664
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	24197845	24804104	319	-0.1055
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	24810069	24922056	61	-0.3548
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	24922448	30732380	2858	-0.0926
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	30734036	31315153	469	-0.39
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	31315191	33414131	932	-0.0926
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	33415069	33717367	152	-0.4145
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	33718018	35091674	1021	-0.0336
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	35102654	35104491	20	-0.9715
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	35114268	72768916	23868	-0.0552
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	72768936	72811148	45	-1.1209
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	72811904	103304787	19736	-0.0539
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	103317472	106013376	1304	0.6787
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	106019205	106022375	17	1.3682
USAGE_p_TCGA_132_133_136_SNP_N_GenomeWideSNP_6_B02_787472	1	106024055	108322535	1644	0.5373
